"movie_id","movie_name","movie_distributor","movie_genre"
"Romantic-Comedy_2000_1","What Women Want","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2000_2","Me, Myself & Irene","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2000_3","Keeping the Faith","Walt Disney","Romantic-Comedy"
"Romantic-Comedy_2000_4","Return to Me","MGM","Romantic-Comedy"
"Romantic-Comedy_2000_5","Boys and Girls","Miramax","Romantic-Comedy"
"Romantic-Comedy_2000_6","Down to You","Miramax","Romantic-Comedy"
"Romantic-Comedy_2000_7","Loser","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2000_8","Dr. T and the Women","Artisan","Romantic-Comedy"
"Romantic-Comedy_2000_9","Whatever it Takes","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2000_10","Woman on Top","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2000_11","The Tao of Steve","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2000_12","Sweet and Lowdown","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2000_13","Bossa Nova","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2000_14","Girl on the Bridge","Paramount Vantage","Romantic-Comedy"
"Romantic-Comedy_2000_15","The Best Man","Universal","Romantic-Comedy"
"Romantic-Comedy_2000_16","Me, Myself & I","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2000_17","Love and Sex","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2000_18","The Bachelor","New Line","Romantic-Comedy"
"Romantic-Comedy_2000_19","Love's Labour's Lost","Miramax","Romantic-Comedy"
"Romantic-Comedy_2000_20","Chal Mere Bhai","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2000_21","Fever Pitch","Phaedra Cinema","Romantic-Comedy"
"Romantic-Comedy_2000_22","Runaway Bride","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2000_23","Mad About Mambo","","Romantic-Comedy"
"Romantic-Comedy_2001_1","America's Sweethearts","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2001_2","Bridget Jones's Diary","Miramax","Romantic-Comedy"
"Romantic-Comedy_2001_3","Shallow Hal","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2001_4","What Women Want","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2001_5","Down to Earth","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2001_6","The Wedding Planner","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2001_7","Serendipity","Miramax","Romantic-Comedy"
"Romantic-Comedy_2001_8","Kate and Leopold","Miramax","Romantic-Comedy"
"Romantic-Comedy_2001_9","Someone Like You","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2001_10","Two Can Play That Game","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2001_11","Le Fabuleux destin d'Amélie…","Miramax","Romantic-Comedy"
"Romantic-Comedy_2001_12","Get Over It","Miramax","Romantic-Comedy"
"Romantic-Comedy_2001_13","Head Over Heels","Universal","Romantic-Comedy"
"Romantic-Comedy_2001_14","Town & Country","New Line","Romantic-Comedy"
"Romantic-Comedy_2001_15","On the Line","Miramax","Romantic-Comedy"
"Romantic-Comedy_2001_16","All Over the Guy","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2001_17","American Desi","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2001_18","Va Savoir (Who Knows?)","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2001_19","Happy Accidents","IFC Films","Romantic-Comedy"
"Romantic-Comedy_2001_20","The Taste of Others","Miramax","Romantic-Comedy"
"Romantic-Comedy_2001_21","Better than Sex","Samuel Goldwyn Films","Romantic-Comedy"
"Romantic-Comedy_2001_22","Best Man in Grass Creek","","Romantic-Comedy"
"Romantic-Comedy_2001_23","Mademoiselle","","Romantic-Comedy"
"Romantic-Comedy_2001_24","Café Olé","Equinox","Romantic-Comedy"
"Romantic-Comedy_2001_25","Let it Snow","","Romantic-Comedy"
"Romantic-Comedy_2001_26","Du pic au coeur","","Romantic-Comedy"
"Romantic-Comedy_2002_1","My Big Fat Greek Wedding","IFC Films","Romantic-Comedy"
"Romantic-Comedy_2002_2","Maid in Manhattan","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2002_3","Two Weeks Notice","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2002_4","About a Boy","Universal","Romantic-Comedy"
"Romantic-Comedy_2002_5","40 Days and 40 Nights","Miramax","Romantic-Comedy"
"Romantic-Comedy_2002_6","Brown Sugar","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2002_7","The Sweetest Thing","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2002_8","Serving Sara","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2002_9","Kate and Leopold","Miramax","Romantic-Comedy"
"Romantic-Comedy_2002_10","Le Fabuleux destin d'Amélie…","Miramax","Romantic-Comedy"
"Romantic-Comedy_2002_11","Life, or Something Like It","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2002_12","Kissing Jessica Stein","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2002_13","Birthday Girl","Miramax","Romantic-Comedy"
"Romantic-Comedy_2002_14","Hollywood Ending","Dreamworks SKG","Romantic-Comedy"
"Romantic-Comedy_2002_15","Shallow Hal","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2002_16","Bollywood/Hollywood","Magnolia Pictures","Romantic-Comedy"
"Romantic-Comedy_2002_17","Crush","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2002_18","Swept Away","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2002_19","The Triumph of Love","","Romantic-Comedy"
"Romantic-Comedy_2002_20","Never Again","","Romantic-Comedy"
"Romantic-Comedy_2002_21","The Bread, My Sweet","Panorama Entertai…","Romantic-Comedy"
"Romantic-Comedy_2002_22","Mujhse Dosti Karoge","","Romantic-Comedy"
